Exchange,diffconstant,concentration im mM,category
EX_ppa(e),6.70E-06,0.0001,normal
EX_isobut(e),6.70E-06,0.0001,normal
EX_isoval(e),6.70E-06,0.0001,normal
EX_isocapr(e),6.70E-06,0.0001,normal
EX_trp_L(e),6.70E-06,0.0001,normal
EX_indole(e),6.70E-06,0.0001,normal
EX_pac(e),6.70E-06,0.0001,normal
EX_malttr(e),6.70E-06,0.0001,normal
EX_cspg_a(e),6.70E-06,0.0001,normal
EX_idour(e),6.70E-06,0.0001,normal
EX_fuc_L(e),6.70E-06,0.0001,normal
EX_12ppd_S(e),6.70E-06,0.0001,normal
EX_gam(e),6.70E-06,0.0001,normal
EX_glygn2(e),6.70E-06,0.0001,normal
EX_glygn4(e),6.70E-06,0.0001,normal
EX_glygn5(e),6.70E-06,0.0001,normal
EX_Tyr_ggn(e),6.70E-06,0.0001,normal
EX_gam26s(e),6.70E-06,0.0001,normal
EX_meoh(e),2.00E-05,0.0001,normal
EX_lcts(e),6.70E-06,0.0001,normal
EX_acerA(e),6.70E-06,0.0001,normal
EX_kdo(e),6.70E-06,0.0001,normal
EX_rib_D(e),6.70E-06,0.0001,normal
EX_tre(e),6.70E-06,0.0001,normal
EX_arabttr(e),6.70E-06,0.0001,normal
EX_ddca(e),6.70E-06,0.0001,normal
EX_ttdca(e),6.70E-06,0.0001,normal
EX_hdca(e),6.70E-06,0.0001,normal
EX_dpcoa(e),6.70E-06,0.0001,normal
EX_drib(e),6.70E-06,0.0001,normal
EX_malthx(e),6.70E-06,0.0001,normal
EX_no3(e),2.00E-05,0.0001,normal
EX_taur(e),6.70E-06,0.0001,normal
EX_2ddglcn(e),6.70E-06,0.0001,normal
EX_Lcyst(e),6.70E-06,0.0001,normal
EX_butso3(e),2.00E-05,0.0001,normal
EX_etha(e),2.00E-05,0.0001,normal
EX_ethso3(e),2.00E-05,0.0001,normal
EX_fum(e),6.70E-06,0.0001,normal
EX_hexs(e),6.70E-06,0.0001,normal
EX_isetac(e),6.70E-06,0.0001,normal
EX_mops(e),6.70E-06,0.0001,normal
EX_mso3(e),6.70E-06,0.0001,normal
EX_orn(e),6.70E-06,0.0001,normal
EX_sulfac(e),6.70E-06,0.0001,normal
EX_pppn(e),6.70E-06,0.0001,normal
EX_pyr(e),6.70E-06,0.0001,normal
EX_15dap(e),6.70E-06,0.0001,normal
EX_acac(e),6.70E-06,0.0001,normal
EX_akg(e),6.70E-06,0.0001,normal
EX_ala_D(e),6.70E-06,0.0001,normal
EX_alltn(e),6.70E-06,0.0001,normal
EX_csn(e),6.70E-06,0.0001,normal
EX_cynt(e),6.70E-06,0.0001,normal
EX_fuc1p_L(e),6.70E-06,0.0001,normal
EX_g6p(e),6.70E-06,0.0001,normal
EX_galct_D(e),6.70E-06,0.0001,normal
EX_galctn_D(e),6.70E-06,0.0001,normal
EX_glcn(e),6.70E-06,0.0001,normal
EX_glcr(e),6.70E-06,0.0001,normal
EX_glyclt(e),6.70E-06,0.0001,normal
EX_idon_L(e),6.70E-06,0.0001,normal
EX_mal_L(e),6.70E-06,0.0001,normal
EX_man6p(e),6.70E-06,0.0001,normal
EX_nmn(e),6.70E-06,0.0001,normal
EX_ser_D(e),6.70E-06,0.0001,normal
EX_tma(e),2.00E-05,0.0001,normal
EX_tmao(e),2.00E-05,0.0001,normal
EX_tsul(e),2.00E-05,0.0001,normal
EX_xtsn(e),6.70E-06,0.0001,normal
EX_dms(e),2.00E-05,0.0001,normal
EX_dmso(e),2.00E-05,0.0001,normal
EX_selni(e),2.00E-05,0.0001,normal
EX_sel(e),2.00E-05,0.0001,normal
EX_4hbz(e),6.70E-06,0.0001,normal
EX_cinnm(e),6.70E-06,0.0001,normal
EX_dhcinnm(e),6.70E-06,0.0001,normal
EX_3hpppn(e),6.70E-06,0.0001,normal
EX_dhpppn(e),6.70E-06,0.0001,normal
EX_4hoxpacd(e),6.70E-06,0.0001,normal
EX_tym(e),6.70E-06,0.0001,normal
EX_3hphac(e),6.70E-06,0.0001,normal
EX_34dhpha(e),6.70E-06,0.0001,normal
EX_13ppd(e),6.70E-06,0.0001,normal
EX_mobd(e),2.00E-05,0.0001,normal
EX_gua(e),6.70E-06,0.0001,normal
EX_fol(e),6.70E-06,0.0001,normal
EX_sheme(e),6.70E-06,0.0001,normal
EX_12dgr180(e),6.70E-06,0.0001,normal
EX_ade(e),6.70E-06,0.0001,normal
EX_n2(e),2.00E-05,0.0001,normal
EX_Ser_Thr(e),6.70E-06,0.0001,normal 
